N,Z,A,Mass Excess (keV),Zshell_category,Nshell_category,ZEO,NEO,deltaN,deltaZ,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A
1,0,1,8071.31806,1,1,0,1,1,2,1.0,0.0,1.0
0,1,1,7288.971064,1,1,1,0,2,1,1.0,0.0,1.0
1,1,2,13135.722895,1,1,1,1,1,1,1.5874010519681994,0.0,0.0
2,1,3,14949.8109,1,1,1,0,0,1,2.080083823051904,0.0,0.3333333333333333
1,2,3,14931.21888,1,1,0,1,1,0,2.080083823051904,1.3867225487012695,0.3333333333333333
0,3,3,28667.0,2,1,1,0,2,1,2.080083823051904,4.160167646103808,3.0
3,1,4,24621.129,1,2,1,1,1,1,2.5198420997897464,0.0,1.0
2,2,4,2424.91587,1,1,0,0,0,0,2.5198420997897464,1.2599210498948732,0.0
1,3,4,25323.19,2,1,1,1,1,1,2.5198420997897464,3.77976314968462,1.0
4,1,5,32892.447,1,2,1,0,2,1,2.924017738212866,0.0,1.8
3,2,5,11231.234,1,2,0,1,1,0,2.924017738212866,1.1696070952851465,0.2
2,3,5,11678.887,2,1,1,0,0,1,2.924017738212866,3.5088212858554395,0.2
1,4,5,37139.0,2,1,0,1,1,2,2.924017738212866,7.017642571710879,1.8
5,1,6,41875.725,1,2,1,1,3,1,3.3019272488946263,0.0,2.6666666666666665
4,2,6,17592.095,1,2,0,0,2,0,3.3019272488946263,1.100642416298209,0.6666666666666666
3,3,6,14086.88044,2,2,1,1,1,1,3.3019272488946263,3.3019272488946267,0.0
2,4,6,18375.034,2,1,0,0,0,2,3.3019272488946263,6.6038544977892535,0.6666666666666666
1,5,6,47320.0,2,1,1,1,1,3,3.3019272488946263,11.00642416298209,2.6666666666666665
6,1,7,49135.0,1,2,1,0,2,1,3.6593057100229713,0.0,3.5714285714285716
5,2,7,26073.128,1,2,0,1,3,0,3.6593057100229713,1.0455159171494206,1.2857142857142858
4,3,7,14907.10463,2,2,1,0,2,1,3.6593057100229713,3.1365477514482616,0.14285714285714285
3,4,7,15768.998,2,2,0,1,1,2,3.6593057100229713,6.273095502896523,0.14285714285714285
2,5,7,27676.553,2,1,1,0,0,3,3.6593057100229713,10.455159171494206,1.2857142857142858
6,2,8,31609.683,1,2,0,0,2,0,3.9999999999999996,1.0,2.0
5,3,8,20945.805,2,2,1,1,3,1,3.9999999999999996,3.0,0.5
4,4,8,4941.672,2,2,0,0,2,2,3.9999999999999996,6.0,0.0
3,5,8,22921.569,2,2,1,1,1,3,3.9999999999999996,10.0,0.5
2,6,8,35064.269,2,1,0,0,0,2,3.9999999999999996,15.0,2.0
7,2,9,40935.826,1,3,0,1,1,0,4.3267487109222245,0.9614997135382722,2.7777777777777777
6,3,9,24954.905,2,2,1,0,2,1,4.3267487109222245,2.8844991406148166,1.0
5,4,9,11348.451,2,2,0,1,3,2,4.3267487109222245,5.768998281229633,0.1111111111111111
4,5,9,12416.486,2,2,1,0,2,3,4.3267487109222245,9.614997135382723,0.1111111111111111
3,6,9,28910.971,2,2,0,1,1,2,4.3267487109222245,14.422495703074084,1.0
8,2,10,49197.147,1,3,0,0,0,0,4.641588833612778,0.9283177667225557,3.6
7,3,10,33052.628,2,3,1,1,1,1,4.641588833612778,2.7849533001676674,1.6
6,4,10,12607.487,2,2,0,0,2,2,4.641588833612778,5.569906600335335,0.4
5,5,10,12050.611,2,2,1,1,3,3,4.641588833612778,9.283177667225557,0.0
4,6,10,15698.673,2,2,0,0,2,2,4.641588833612778,13.924766500838336,0.4
3,7,10,38800.027,3,2,1,1,1,1,4.641588833612778,19.49467310117367,1.6
8,3,11,40728.259,2,3,1,0,0,1,4.9460874432487,2.6978658781356555,2.272727272727273
7,4,11,20177.169,2,3,0,1,1,2,4.9460874432487,5.395731756271311,0.8181818181818182
6,5,11,8667.708,2,2,1,0,2,3,4.9460874432487,8.992886260452185,0.09090909090909091
5,6,11,10649.397,2,2,0,1,3,2,4.9460874432487,13.489329390678277,0.09090909090909091
4,7,11,24365.644,3,2,1,0,2,1,4.9460874432487,18.88506114694959,0.8181818181818182
9,3,12,49009.577,2,4,1,1,1,1,5.241482788417793,2.6207413942088964,3.0
8,4,12,25077.761,2,3,0,0,0,2,5.241482788417793,5.241482788417793,1.3333333333333333
7,5,12,13369.398,2,3,1,1,1,3,5.241482788417793,8.735804647362988,0.3333333333333333
6,6,12,0.0,2,2,0,0,2,2,5.241482788417793,13.103706971044483,0.0
5,7,12,17338.068,3,2,1,1,3,1,5.241482788417793,18.345189759462276,0.3333333333333333
4,8,12,32013.335,3,2,0,0,2,0,5.241482788417793,24.46025301261637,1.3333333333333333
10,3,13,56980.895,2,4,1,0,2,1,5.528774813678871,2.5517422216979413,3.769230769230769
9,4,13,33659.08,2,4,0,1,1,2,5.528774813678871,5.103484443395883,1.9230769230769231
8,5,13,16561.948,2,3,1,0,0,3,5.528774813678871,8.505807405659803,0.6923076923076923
7,6,13,3125.00933,2,3,0,1,1,2,5.528774813678871,12.758711108489706,0.07692307692307693
6,7,13,5345.481,3,2,1,0,2,1,5.528774813678871,17.862195551885588,0.07692307692307693
5,8,13,23115.432,3,2,0,1,3,0,5.528774813678871,23.81626073584745,0.6923076923076923
10,4,14,39954.502,2,4,0,0,2,2,5.808785733563703,4.978959200197461,2.5714285714285716
9,5,14,23663.686,2,4,1,1,1,3,5.808785733563703,8.298265333662435,1.1428571428571428
8,6,14,3019.89328,2,3,0,0,0,2,5.808785733563703,12.447398000493653,0.2857142857142857
7,7,14,2863.41683,3,3,1,1,1,1,5.808785733563703,17.426357200691115,0.0
6,8,14,8007.781,3,2,0,0,2,0,5.808785733563703,23.23514293425482,0.2857142857142857
5,9,14,31964.403,4,2,1,1,3,1,5.808785733563703,29.873755201184768,1.1428571428571428
11,4,15,49825.821,2,4,0,1,3,2,6.082201995573399,4.865761596458721,3.2666666666666666
10,5,15,28957.379,2,4,1,0,2,3,6.082201995573399,8.109602660764535,1.6666666666666667
9,6,15,9873.145,2,4,0,1,1,2,6.082201995573399,12.164403991146802,0.6
8,7,15,101.43809,3,3,1,0,0,1,6.082201995573399,17.030165587605524,0.06666666666666667
7,8,15,2855.622,3,3,0,1,1,0,6.082201995573399,22.706887450140698,0.06666666666666667
6,9,15,16566.752,4,2,1,0,2,1,6.082201995573399,29.194569578752326,0.6
5,10,15,40215.374,4,2,0,1,3,2,6.082201995573399,36.4932119734404,1.6666666666666667
12,4,16,57447.139,2,4,0,0,4,2,6.3496042078727974,4.762203155904598,4.0
11,5,16,37111.699,2,4,1,1,3,3,6.3496042078727974,7.937005259840997,2.25
10,6,16,13694.133,2,4,0,0,2,2,6.3496042078727974,11.905507889761497,1.0
9,7,16,5683.907,3,4,1,1,1,1,6.3496042078727974,16.667711045666096,0.25
8,8,16,-4737.00217,3,3,0,0,0,0,6.3496042078727974,22.223614727554793,0.0
7,9,16,10675.182,4,3,1,1,1,1,6.3496042078727974,28.57321893542759,0.25
6,10,16,23986.775,4,2,0,0,2,2,6.3496042078727974,35.716523669284484,1.0
12,5,17,43716.322,2,4,1,0,4,3,6.611489018457944,7.778222374656407,2.8823529411764706
11,6,17,21031.88,2,4,0,1,3,2,6.611489018457944,11.66733356198461,1.4705882352941178
10,7,17,7870.079,3,4,1,0,2,1,6.611489018457944,16.334266986778452,0.5294117647058824
9,8,17,-808.76421,3,4,0,1,1,0,6.611489018457944,21.779022649037937,0.058823529411764705
8,9,17,1951.701,4,3,1,0,0,1,6.611489018457944,28.001600548763065,0.058823529411764705
7,10,17,16500.452,4,3,0,1,1,2,6.611489018457944,35.00200068595383,0.5294117647058824
6,11,17,34719.58,4,2,1,0,2,3,6.611489018457944,42.78022306061023,1.4705882352941178
13,5,18,51792.64,2,4,1,1,5,3,6.868285455319991,7.63142828368888,3.5555555555555554
12,6,18,24919.266,2,4,0,0,4,2,6.868285455319991,11.44714242553332,2.0
11,7,18,13113.167,3,4,1,1,3,1,6.868285455319991,16.02599939574665,0.8888888888888888
10,8,18,-782.81634,3,4,0,0,2,0,6.868285455319991,21.367999194328863,0.2222222222222222
9,9,18,873.112,4,4,1,1,1,1,6.868285455319991,27.473141821279967,0.0
8,10,18,5317.617,4,3,0,0,0,2,6.868285455319991,34.34142727659996,0.2222222222222222
7,11,18,25037.992,4,3,1,1,1,3,6.868285455319991,41.972855560288835,0.8888888888888888
14,5,19,59770.251,2,4,1,0,6,3,7.1203673589019925,7.495123535686309,4.2631578947368425
13,6,19,32413.754,2,4,0,1,5,2,7.1203673589019925,11.242685303529464,2.5789473684210527
12,7,19,15856.255,3,4,1,0,4,1,7.1203673589019925,15.73975942494125,1.3157894736842106
11,8,19,3332.858,3,4,0,1,3,0,7.1203673589019925,20.986345899921666,0.47368421052631576
10,9,19,-1487.44512,4,4,1,0,2,1,7.1203673589019925,26.982444728470714,0.05263157894736842
9,10,19,1752.054,4,4,0,1,1,2,7.1203673589019925,33.72805591058839,0.05263157894736842
8,11,19,12929.384,4,3,1,0,0,3,7.1203673589019925,41.2231794462747,0.47368421052631576
7,12,19,31838.394,4,3,0,1,1,4,7.1203673589019925,49.46781533552964,1.3157894736842106
15,5,20,69401.569,2,5,1,1,5,3,7.368062997280773,7.368062997280774,5.0
14,6,20,37503.567,2,4,0,0,6,2,7.368062997280773,11.05209449592116,3.2
13,7,20,21766.498,3,4,1,1,5,1,7.368062997280773,15.472932294289626,1.8
12,8,20,3796.172,3,4,0,0,4,0,7.368062997280773,20.630576392386168,0.8
11,9,20,-17.463,4,4,1,1,3,1,7.368062997280773,26.525026790210784,0.2
10,10,20,-7041.93217,4,4,0,0,2,2,7.368062997280773,33.15628348776348,0.0
9,11,20,6850.489,4,4,1,1,1,3,7.368062997280773,40.524346485044255,0.2
8,12,20,17477.694,4,3,0,0,0,4,7.368062997280773,48.62921578205311,0.8
16,5,21,78382.887,2,5,1,0,4,3,7.611662611020244,7.249202486685949,5.761904761904762
15,6,21,45643.0,2,5,0,1,5,2,7.611662611020244,10.873803730028923,3.857142857142857
14,7,21,25231.915,3,4,1,0,6,1,7.611662611020244,15.223325222040492,2.3333333333333335
13,8,21,8062.034,3,4,0,1,5,0,7.611662611020244,20.297766962720655,1.1904761904761905
12,9,21,-47.605,4,4,1,0,4,1,7.611662611020244,26.097128952069415,0.42857142857142855
11,10,21,-5731.776,4,4,0,1,3,2,7.611662611020244,32.62141119008677,0.047619047619047616
10,11,21,-2184.857,4,4,1,0,2,3,7.611662611020244,39.87061367677272,0.047619047619047616
9,12,21,10903.851,4,4,0,1,1,4,7.611662611020244,47.84473641212726,0.42857142857142855
8,13,21,27090.0,4,3,1,0,0,5,7.611662611020244,56.5437793961504,1.1904761904761905
16,6,22,53611.203,2,5,0,0,4,2,7.851424410539689,10.706487832554124,4.545454545454546
15,7,22,31764.805,3,5,1,1,5,1,7.851424410539689,14.989082965575774,2.909090909090909
14,8,22,9283.032,3,4,0,0,6,0,7.851424410539689,19.98544395410103,1.6363636363636365
13,9,22,2793.376,4,4,1,1,5,1,7.851424410539689,25.695570798129896,0.7272727272727273
12,10,22,-8024.716,4,4,0,0,4,2,7.851424410539689,32.11946349766237,0.18181818181818182
11,11,22,-5181.391,4,4,1,1,3,3,7.851424410539689,39.257122052698456,0.0
10,12,22,-399.986,4,4,0,0,2,4,7.851424410539689,47.10854646323814,0.18181818181818182
9,13,22,18201.0,4,4,1,1,1,5,7.851424410539689,55.673736729281444,0.7272727272727273
8,14,22,33640.0,4,3,0,0,0,6,7.851424410539689,64.95269285082836,1.6363636363636365
17,6,23,64171.0,2,6,0,1,3,2,8.087579399090064,10.54901660750878,5.260869565217392
16,7,23,36720.429,3,5,1,0,4,1,8.087579399090064,14.768623250512292,3.5217391304347827
15,8,23,14621.371,3,5,0,1,5,0,8.087579399090064,19.691497667349722,2.130434782608696
14,9,23,3285.263,4,4,1,0,6,1,8.087579399090064,25.31763985802107,1.0869565217391304
13,10,23,-5154.045,4,4,0,1,5,2,8.087579399090064,31.647049822526338,0.391304347826087
12,11,23,-9529.85352,4,4,1,0,4,3,8.087579399090064,38.67972756086552,0.043478260869565216
11,12,23,-5473.675,4,4,0,1,3,4,8.087579399090064,46.41567307303863,0.043478260869565216
10,13,23,6748.071,4,4,1,0,2,5,8.087579399090064,54.85488635904566,0.391304347826087
9,14,23,23950.0,4,4,0,1,1,6,8.087579399090064,63.9973674188866,1.0869565217391304
17,7,24,46938.0,3,6,1,1,3,1,8.320335292207616,14.56058676136333,4.166666666666667
16,8,24,18500.404,3,5,0,0,4,0,8.320335292207616,19.414115681817773,2.6666666666666665
15,9,24,7544.516,4,5,1,1,5,1,8.320335292207616,24.96100587662285,1.5
14,10,24,-5951.642,4,4,0,0,6,2,8.320335292207616,31.201257345778565,0.6666666666666666
13,11,24,-8417.901,4,4,1,1,5,3,8.320335292207616,38.13487008928491,0.16666666666666666
12,12,24,-13933.578,4,4,0,0,4,4,8.320335292207616,45.76184410714189,0.0
11,13,24,-48.812,4,4,1,1,3,5,8.320335292207616,54.08217939934951,0.16666666666666666
10,14,24,10745.186,4,4,0,0,2,6,8.320335292207616,63.09587596590776,0.6666666666666666
9,15,24,34020.0,5,4,1,1,1,5,8.320335292207616,72.80293380681665,1.5
18,7,25,55983.0,3,6,1,0,2,1,8.549879733383484,14.363797952084255,4.84
17,8,25,27329.03,3,6,0,1,3,0,8.549879733383484,19.151730602779008,3.24
16,9,25,11334.167,4,5,1,0,4,1,8.549879733383484,24.623653632144435,1.96
15,10,25,-2035.503,4,5,0,1,5,2,8.549879733383484,30.779567040180545,1.0
14,11,25,-9357.814,4,4,1,0,6,3,8.549879733383484,37.61947082688734,0.36
13,12,25,-13192.782,4,4,0,1,5,4,8.549879733383484,45.1433649922648,0.04
12,13,25,-8915.974,4,4,1,0,4,5,8.549879733383484,53.35124953631295,0.04
11,14,25,3827.322,4,4,0,1,3,6,8.549879733383484,62.24312445903177,0.36
10,15,25,20190.0,5,4,1,0,2,5,8.549879733383484,71.81898976042127,1.0
18,8,26,34661.041,3,6,0,0,2,0,8.776382955329126,18.902978673016584,3.8461538461538463
17,9,26,18674.655,4,6,1,1,3,1,8.776382955329126,24.303829722449894,2.4615384615384617
16,10,26,481.114,4,5,0,0,4,2,8.776382955329126,30.379787153062367,1.3846153846153846
15,11,26,-6860.78,4,5,1,1,5,3,8.776382955329126,37.130850964854005,0.6153846153846154
14,12,26,-16214.544,4,4,0,0,6,4,8.776382955329126,44.557021157824806,0.15384615384615385
13,13,26,-12210.139,4,4,1,1,5,5,8.776382955329126,52.65829773197477,0.0
12,14,26,-7141.003,4,4,0,0,4,6,8.776382955329126,61.4346806873039,0.15384615384615385
11,15,26,10973.0,5,4,1,1,3,5,8.776382955329126,70.8861700238122,0.6153846153846154
10,16,26,27680.0,5,4,0,0,2,4,8.776382955329126,81.01276574149965,1.3846153846153846
19,8,27,44670.0,3,6,0,1,1,0,8.999999999999998,18.666666666666668,4.481481481481482
18,9,27,25133.478,4,6,1,0,2,1,8.999999999999998,24.0,3.0
17,10,27,7050.91,4,6,0,1,3,2,8.999999999999998,30.0,1.8148148148148149
16,11,27,-5517.791,4,5,1,0,4,3,8.999999999999998,36.666666666666664,0.9259259259259259
15,12,27,-14586.594,4,5,0,1,5,4,8.999999999999998,44.0,0.3333333333333333
14,13,27,-17196.864,4,4,1,0,6,5,8.999999999999998,52.0,0.037037037037037035
13,14,27,-12384.505,4,4,0,1,5,6,8.999999999999998,60.666666666666664,0.037037037037037035
12,15,27,-659.032,5,4,1,0,4,5,8.999999999999998,70.0,0.3333333333333333
11,16,27,17491.0,5,4,0,1,3,4,8.999999999999998,80.0,0.9259259259259259
20,8,28,52080.0,3,6,0,0,0,0,9.220872584116892,18.441745168233787,5.142857142857143
19,9,28,33403.796,4,6,1,1,1,1,9.220872584116892,23.710815216300585,3.5714285714285716
18,10,28,11299.738,4,6,0,0,2,2,9.220872584116892,29.638519020375732,2.2857142857142856
17,11,28,-988.315,4,6,1,1,3,3,9.220872584116892,36.224856580459225,1.2857142857142858
16,12,28,-15019.946,4,5,0,0,4,4,9.220872584116892,43.469827896551074,0.5714285714285714
15,13,28,-16850.719,4,5,1,1,5,5,9.220872584116892,51.373432968651265,0.14285714285714285
14,14,28,-21492.7971,4,4,0,0,6,6,9.220872584116892,59.93567179675981,0.0
13,15,28,-7147.856,5,4,1,1,5,5,9.220872584116892,69.15654438087671,0.14285714285714285
12,16,28,4073.203,5,4,0,0,4,4,9.220872584116892,79.03605072100194,0.5714285714285714
11,17,28,28270.0,6,4,1,1,3,3,9.220872584116892,89.57419081713554,1.2857142857142858
20,9,29,40150.19,4,6,1,0,0,1,9.43913067739236,23.43508306111207,4.172413793103448
19,10,29,18399.803,4,6,0,1,1,2,9.43913067739236,29.293853826390087,2.793103448275862
18,11,29,2679.994,4,6,1,0,2,3,9.43913067739236,35.80359912114344,1.6896551724137931
17,12,29,-10612.36,4,6,0,1,3,4,9.43913067739236,42.96431894537213,0.8620689655172413
16,13,29,-18207.762,4,5,1,0,4,5,9.43913067739236,50.776013299076155,0.3103448275862069
15,14,29,-21895.08154,4,5,0,1,5,6,9.43913067739236,59.23868218225551,0.034482758620689655
14,15,29,-16952.849,5,4,1,0,6,5,9.43913067739236,68.3523255949102,0.034482758620689655
13,16,29,-3094.423,5,4,0,1,5,4,9.43913067739236,78.11694353704023,0.3103448275862069
12,17,29,14022.0,6,4,1,0,4,3,9.43913067739236,88.5325360086456,0.8620689655172413
21,9,30,48960.0,4,7,1,1,1,1,9.654893846056297,23.171745230535116,4.8
20,10,30,23280.12,4,6,0,0,0,2,9.654893846056297,28.964681538168897,3.3333333333333335
19,11,30,8474.67,4,6,1,1,1,3,9.654893846056297,35.40127743553976,2.1333333333333333
18,12,30,-8881.373,4,6,0,0,2,4,9.654893846056297,42.481532922647716,1.2
17,13,30,-15864.116,4,6,1,1,3,5,9.654893846056297,50.205447999492755,0.5333333333333333
16,14,30,-24432.962,4,5,0,0,4,6,9.654893846056297,58.57302266607488,0.13333333333333333
15,15,30,-20200.856,5,5,1,1,5,5,9.654893846056297,67.58425692239409,0.0
14,16,30,-14059.254,5,4,0,0,6,4,9.654893846056297,77.23915076845039,0.13333333333333333
13,17,30,4674.548,6,4,1,1,5,3,9.654893846056297,87.53770420424377,0.5333333333333333
12,18,30,22071.0,6,4,0,0,4,2,9.654893846056297,98.47991722977424,1.2
22,9,31,56843.0,4,7,1,0,2,1,9.868272403218972,22.919858484895684,5.451612903225806
21,10,31,31181.594,4,7,0,1,1,2,9.868272403218972,28.649823106119605,3.903225806451613
20,11,31,12246.031,4,6,1,0,0,3,9.868272403218972,35.01645046303507,2.6129032258064515
19,12,31,-3122.152,4,6,0,1,1,4,9.868272403218972,42.01974055564209,1.5806451612903225
18,13,31,-14950.709,4,6,1,0,2,5,9.868272403218972,49.65969338394065,0.8064516129032258
17,14,31,-22949.037,4,6,0,1,3,6,9.868272403218972,57.936308947930755,0.2903225806451613
16,15,31,-24440.54442,5,5,1,0,4,5,9.868272403218972,66.8495872476124,0.03225806451612903
15,16,31,-19042.531,5,5,0,1,5,4,9.868272403218972,76.39952828298561,0.03225806451612903
14,17,31,-7034.552,6,4,1,0,6,3,9.868272403218972,86.58613205405035,0.2903225806451613
13,18,31,11325.0,6,4,0,1,5,2,9.868272403218972,97.40939856080665,0.8064516129032258
22,10,32,36999.0,4,7,0,0,2,2,10.079368399158984,28.34822362263465,4.5
21,11,32,18640.152,4,7,1,1,1,3,10.079368399158984,34.64782887210902,3.125
20,12,32,-828.901,4,6,0,0,0,4,10.079368399158984,41.57739464653082,2.0
19,13,32,-11099.368,4,6,1,1,1,5,10.079368399158984,49.13692094590006,1.125
18,14,32,-24077.689,4,6,0,0,2,6,10.079368399158984,57.32640777021673,0.5
17,15,32,-24304.876,5,6,1,1,3,5,10.079368399158984,66.14585511948084,0.125
16,16,32,-26015.53714,5,5,0,0,4,4,10.079368399158984,75.5952629936924,0.0
15,17,32,-13334.706,6,5,1,1,5,3,10.079368399158984,85.67463139285138,0.125
14,18,32,-2200.352,6,4,0,0,6,2,10.079368399158984,96.3839603169578,0.5
13,19,32,21990.0,6,4,1,1,5,1,10.079368399158984,107.72324976601166,1.125
23,10,33,46130.0,4,7,0,1,3,2,10.288276478101775,28.05893584936848,5.121212121212121
22,11,33,23780.113,4,7,1,0,2,3,10.288276478101775,34.29425492700592,3.6666666666666665
21,12,33,4962.873,4,7,0,1,1,4,10.288276478101775,41.153105912407106,2.4545454545454546
20,13,33,-8497.382,4,6,1,0,0,5,10.288276478101775,48.63548880557204,1.4848484848484849
19,14,33,-20514.328,4,6,0,1,1,6,10.288276478101775,56.74140360650071,0.7575757575757576
18,15,33,-26337.35,5,6,1,0,2,5,10.288276478101775,65.47085031519312,0.2727272727272727
17,16,33,-26585.8583,5,6,0,1,3,4,10.288276478101775,74.82382893164929,0.030303030303030304
16,17,33,-21003.34,6,5,1,0,4,3,10.288276478101775,84.80033945586919,0.030303030303030304
15,18,33,-9384.295,6,5,0,1,5,2,10.288276478101775,95.40038188785284,0.2727272727272727
14,19,33,7540.0,6,4,1,0,6,1,10.288276478101775,106.62395622760023,0.7575757575757576
24,10,34,52842.0,4,7,0,0,4,2,10.49508462297634,27.781106354937375,5.764705882352941
23,11,34,31680.114,4,7,1,1,3,3,10.49508462297634,33.95468554492346,4.235294117647059
22,12,34,8323.324,4,7,0,0,2,4,10.49508462297634,40.74562265390815,2.9411764705882355
21,13,34,-2997.619,4,7,1,1,1,5,10.49508462297634,48.15391768189145,1.8823529411764706
20,14,34,-19991.684,4,6,0,0,0,6,10.49508462297634,56.17957062887336,1.0588235294117647
19,15,34,-24548.702,5,6,1,1,1,5,10.49508462297634,64.82258149485388,0.47058823529411764
18,16,34,-29931.689,5,6,0,0,2,4,10.49508462297634,74.082950279833,0.11764705882352941
17,17,34,-24440.086,6,6,1,1,3,3,10.49508462297634,83.96067698381073,0.0
16,18,34,-18378.293,6,5,0,0,4,2,10.49508462297634,94.45576160678708,0.11764705882352941
15,19,34,-1220.0,6,5,1,1,5,1,10.49508462297634,105.56820414876202,0.47058823529411764
14,20,34,14890.0,6,4,0,0,6,0,10.49508462297634,117.29800460973559,1.0588235294117647
24,11,35,37831.0,4,7,1,0,4,3,10.699874805650794,33.62817796061678,4.828571428571428
23,12,35,15639.786,4,7,0,1,3,4,10.699874805650794,40.35381355274014,3.4571428571428573
22,13,35,-223.73,4,7,1,0,2,5,10.699874805650794,47.69087056232926,2.3142857142857145
21,14,35,-14391.48,4,7,0,1,1,6,10.699874805650794,55.63934898938413,1.4
20,15,35,-24857.809,5,6,1,0,0,5,10.699874805650794,64.19924883390478,0.7142857142857143
19,16,35,-28846.21,5,6,0,1,1,4,10.699874805650794,73.37057009589117,0.2571428571428571
18,17,35,-29013.532,6,6,1,0,2,3,10.699874805650794,83.15331277534332,0.02857142857142857
17,18,35,-23047.289,6,6,0,1,3,2,10.699874805650794,93.54747687226124,0.02857142857142857
16,19,35,-11172.893,6,5,1,0,4,1,10.699874805650794,104.55306238664491,0.2571428571428571
15,20,35,5190.0,6,5,0,1,5,0,10.699874805650794,116.17006931849434,0.7142857142857143
25,11,36,45903.0,4,7,1,1,3,3,10.902723556992836,33.3138775352559,5.444444444444445
24,12,36,20380.159,4,7,0,0,4,4,10.902723556992836,39.97665304230708,4.0
23,13,36,5950.384,4,7,1,1,3,5,10.902723556992836,47.24513541363564,2.7777777777777777
22,14,36,-12436.125,4,7,0,0,2,6,10.902723556992836,55.11932464924158,1.7777777777777777
21,15,36,-20251.045,5,7,1,1,1,5,10.902723556992836,63.599220749124896,1.0
20,16,36,-30664.141,5,6,0,0,0,4,10.902723556992836,72.6848237132856,0.4444444444444444
19,17,36,-29522.008,6,6,1,1,1,3,10.902723556992836,82.37613354172368,0.1111111111111111
18,18,36,-30231.542,6,6,0,0,2,2,10.902723556992836,92.67315023443913,0.0
17,19,36,-17417.182,6,6,1,1,3,1,10.902723556992836,103.57587379143197,0.1111111111111111
16,20,36,-6451.166,6,5,0,0,4,0,10.902723556992836,115.0843042127022,0.4444444444444444
15,21,36,16150.0,7,5,1,1,5,1,10.902723556992836,127.19844149824979,1.0
26,11,37,53134.0,4,7,1,0,2,3,11.103702468586784,33.0110073390418,6.081081081081081
25,12,37,28211.478,4,7,0,1,3,4,11.103702468586784,39.61320880685015,4.5675675675675675
24,13,37,9809.564,4,7,1,0,4,5,11.103702468586784,46.81561040809564,3.27027027027027
23,14,37,-6571.512,4,7,0,1,3,6,11.103702468586784,54.61821214277825,2.189189189189189
22,15,37,-18996.012,5,7,1,0,2,5,11.103702468586784,63.02101401089798,1.3243243243243243
21,16,37,-26896.426,5,7,0,1,1,4,11.103702468586784,72.02401601245484,0.6756756756756757
20,17,37,-31761.552,6,6,1,0,0,3,11.103702468586784,81.6272181474488,0.24324324324324326
19,18,37,-30947.679,6,6,0,1,1,2,11.103702468586784,91.8306204158799,0.02702702702702703
18,19,37,-24800.201,6,6,1,0,2,1,11.103702468586784,102.63422281774814,0.02702702702702703
17,20,37,-13136.07,6,6,0,1,3,0,11.103702468586784,114.03802535305348,0.24324324324324326
16,21,37,3780.0,7,5,1,0,4,1,11.103702468586784,126.04202802179596,0.6756756756756757
26,12,38,34074.0,4,7,0,0,2,4,11.302878635921052,39.262631051094196,5.157894736842105
25,13,38,16470.0,4,7,1,1,3,5,11.302878635921052,46.40129124220223,3.789473684210526
24,14,38,-4170.299,4,7,0,0,4,6,11.302878635921052,54.134839782569266,2.6315789473684212
23,15,38,-14621.565,5,7,1,1,3,5,11.302878635921052,62.463276672195306,1.6842105263157894
22,16,38,-26861.216,5,7,0,0,2,4,11.302878635921052,71.38660191108035,0.9473684210526315
21,17,38,-29798.116,6,7,1,1,1,3,11.302878635921052,80.9048154992244,0.42105263157894735
20,18,38,-34714.827,6,6,0,0,0,2,11.302878635921052,91.01791743662744,0.10526315789473684
19,19,38,-28800.76,6,6,1,1,1,1,11.302878635921052,101.7259077232895,0.0
18,20,38,-22058.503,6,6,0,0,2,0,11.302878635921052,113.02878635921056,0.10526315789473684
17,21,38,-4249.0,7,6,1,1,3,1,11.302878635921052,124.92655334439061,0.42105263157894735
16,22,38,11370.0,7,5,0,0,4,2,11.302878635921052,137.41920867882968,0.9473684210526315
27,12,39,42775.0,4,7,0,1,1,4,11.500315051230226,38.9241432503177,5.769230769230769
26,13,39,21490.0,4,7,1,0,2,5,11.500315051230226,46.00126020492091,4.333333333333333
25,14,39,2320.352,4,7,0,1,3,6,11.500315051230226,53.668136905741065,3.1025641025641026
24,15,39,-12774.636,5,7,1,0,4,5,11.500315051230226,61.92477335277815,2.076923076923077
23,16,39,-23162.672,5,7,0,1,3,4,11.500315051230226,70.77116954603217,1.2564102564102564
22,17,39,-29800.218,6,7,1,0,2,3,11.500315051230226,80.20732548550313,0.6410256410256411
21,18,39,-33242.195,6,7,0,1,1,2,11.500315051230226,90.23324117119103,0.23076923076923078
20,19,39,-33807.1953,6,6,1,0,0,1,11.500315051230226,100.84891660309584,0.02564102564102564
19,20,39,-27282.707,6,6,0,1,1,0,11.500315051230226,112.0543517812176,0.02564102564102564
18,21,39,-14172.726,7,6,1,0,2,1,11.500315051230226,123.8495467055563,0.23076923076923078
17,22,39,2500.0,7,6,0,1,3,2,11.500315051230226,136.23450137611192,0.6410256410256411
28,12,40,49550.0,4,7,0,0,0,4,11.696070952851462,38.59703414440983,6.4
27,13,40,28820.0,4,7,1,1,1,5,11.696070952851462,45.61467671612071,4.9
26,14,40,5666.876,4,7,0,0,2,6,11.696070952851462,53.217122835474164,3.6
25,15,40,-8139.189,5,7,1,1,3,5,11.696070952851462,61.404372502470196,2.5
